1,d1235,31436,2019-12-16 22:19:38.306255,d1614,a31233
2,a47516,15628,2020-01-12 11:22:28.489432,d1614,a47519
3,a47465,12832,2019-12-04 11:38:32.787412,a47464,a47466,d1235
4,a47519,11704,2020-01-11 22:46:15.227533,a47516,a46896
5,a47462,7172,2019-11-18 12:19:50.908950,d1614,a47503
6,a45102,6568,2019-12-30 01:03:57.854119,a45101,a45140
7,a47738,6408,2020-01-03 22:28:37.825287,a47737,a47742
8,a45101,6024,2020-01-10 15:37:09.074056,a45102,a45140
9,a47500,4276,2020-01-12 00:25:39.018397,a47482,a47467,a47499
10,a47467,3456,2019-11-20 12:25:49.889849,a47500,a47482
11,a45141,3268,2019-11-28 13:02:26.598536,a46351,a47485
12,a46357,3260,2020-01-12 16:19:52.777397,a46318,a46290
13,a46327,3248,2019-11-20 12:25:01.998827,a46349,a46570
14,a47478,3244,2019-11-18 12:24:15.801327,d1614,a31233,a47509,a47515
15,a47515,3212,2019-11-18 12:23:12.183771,d1614,a47478,a47509
16,a47456,3180,2019-11-18 12:16:58.208429,d1614,a31233,d1235,a47503
17,a46570,3148,2020-01-09 16:32:28.187716,d1235,a45302
18,a47454,2968,2020-01-12 15:33:50.930202,a46896,a47485
19,a47455,2944,2020-01-04 15:43:18.278237,a46575,a47519
20,a45140,2824,2020-01-12 14:54:47.056796,a45101,a45102
21,a46575,2804,2020-01-08 22:10:59.769079,a47518,a47455
22,a45144,2736,2020-01-11 23:17:34.523466,a45153,d1614
23,a47457,2468,2019-12-30 15:03:55.105942,a47511,a46484
24,a46346,2444,2019-12-05 20:52:14.885702,d1614,d1235
25,a46895,2280,2019-12-11 16:38:31.625292,d1235,a46967,a46995
26,a47504,2216,2020-01-10 01:02:57.162978,a47510,a47455,a47518
27,a46349,2156,2019-12-27 22:50:44.377315,a46327,a46570
28,a47503,2040,2020-01-07 10:15:03.023653,a47464,a47476
29,a47742,1872,2019-11-21 12:27:23.662473,d1614,a46308
30,a45155,1868,2020-01-10 23:41:00.068273,a45144,a45153
31,a46995,1608,2020-01-11 13:26:53.270370,d1235,a46895,a46967
32,a47481,1592,2020-01-11 15:49:15.862835,d1235,a47514
33,a47453,1460,2020-01-10 13:30:56.318957,d1235,d1614,a47464,a47503
34,a45302,1388,2019-11-21 00:18:36.934995,a45295,a46570,a46349,a46310
35,a46286,1376,2020-01-08 18:01:32.509303,a46287,a47495
36,a46294,1356,2019-12-07 18:44:37.598445,d1614,a31233
37,a46287,1344,2020-01-12 07:40:12.540448,a46286,a47495
38,a45106,1280,2020-01-12 10:52:32.861683,d1235,a46995,a46967
39,a46896,1280,2020-01-12 14:07:53.994629,a47519,a47510
40,a45121,1236,2020-01-11 22:21:51.131391,a45141,a46570
41,a47512,1072,2020-01-09 16:46:29.996060,d1235,a47507,a47494
42,a46254,1012,2019-11-18 12:14:01.876423,d1235,d1614,a31233,a47503
43,a46998,640,2019-12-18 14:13:00.483151,a46995,a46895,a46967
44,a47464,632,2020-01-12 11:41:21.808019,d1235,d1614,a47453,a47465,a47503
45,a45112,540,2019-11-28 12:24:53.066718,d1614,a31233
46,a47470,68,2020-01-08 10:01:07.212597,a47486,a47508
47,d1614,48,2019-11-18 12:16:06.768286,d1235,a47503
48,a47482,48,2020-01-04 18:31:34.718300,a47466,a47499,a47508
49,a47461,40,2020-01-01 11:14:56.024630,a47465,a47466,a47482
50,a47486,32,2019-11-28 13:26:29.379867,a47470,a47508
51,a47466,28,2020-01-10 12:07:49.485511,a47461,a47500,a47467
52,a47499,20,2020-01-07 16:02:08.234104,a47482,a47519,a47460,a47461
53,a47501,8,2019-12-05 15:39:53.959162,a47500,a47489
54,a47514,8,2020-01-06 10:37:59.099855,d1614,a47481,a47507
55,a46318,4,2019-11-28 13:35:04.186634,a46357,a46290
56,a46305,0,2019-11-28 13:15:54.686236,a46570,a46310
57,a46292,0,2019-12-02 12:56:48.910263,d1235,d1614
58,a45153,0,2020-01-03 21:17:04.753012,d1614,a45147
59,a45147,0,2020-01-04 23:00:17.612558,a45144,a45153
60,a47471,0,2020-01-06 12:38:49.086993,a47516,d1235
61,a45096,0,2020-01-08 15:11:39.142185,d1614,d1235
62,a47477,0,2020-01-09 19:36:02.035775,a47461,a47510,a47482
63,a47518,0,2020-01-12 14:50:40.625027,a47510,a47504,a46575
